Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1964","1964","kg","95.9","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1965","1965","kg","93.75","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1966","1966","kg","97","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1967","1967","kg","100.87","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1968","1968","kg","102.68","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1969","1969","kg","103.04","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1970","1970","kg","105.84","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1971","1971","kg","108.53","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1972","1972","kg","107.96","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1973","1973","kg","100.98","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1974","1974","kg","106.17","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1975","1975","kg","102.19","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1976","1976","kg","109.04","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1977","1977","kg","108.74","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1978","1978","kg","106.9","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1979","1979","kg","106.59","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1980","1980","kg","108.32","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1981","1981","kg","108.48","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1982","1982","kg","105.65","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1983","1983","kg","108.47","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1984","1984","kg","108.76","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1985","1985","kg","110.34","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1986","1986","kg","110.59","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1987","1987","kg","111.3","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1988","1988","kg","113.91","Fc","Calculated data"
